Food,B,C,D,E,F,G,H,I,J
0,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,1,2,5
2,1,1,1,1,1,1,1,3,5
3,1,1,1,1,1,1,2,1,5
4,1,1,1,1,1,1,2,2,5
5,1,1,1,1,1,1,2,3,5
6,1,1,1,1,1,1,3,1,5
7,1,1,1,1,1,1,3,2,5
8,1,1,1,1,1,1,3,3,5
9,1,1,1,1,1,1,4,1,5
10,1,1,1,1,1,1,4,2,5
11,1,1,1,1,1,1,4,3,5
12,1,1,1,1,1,2,1,1,5
13,1,1,1,1,1,2,1,2,5
14,1,1,1,1,1,2,1,3,5
15,1,1,1,1,1,2,2,1,5
16,1,1,1,1,1,2,2,2,5
17,1,1,1,1,1,2,2,3,5
18,1,1,1,1,1,2,3,1,5
19,1,1,1,1,1,2,3,2,5
20,1,1,1,1,1,2,3,3,5
21,1,1,1,1,1,2,4,1,5
22,1,1,1,1,1,2,4,2,5
23,1,1,1,1,1,2,4,3,5
24,1,1,1,1,1,3,1,1,5
25,1,1,1,1,1,3,1,2,5
26,1,1,1,1,1,3,1,3,5
27,1,1,1,1,1,3,2,1,5
28,1,1,1,1,1,3,2,2,5
29,1,1,1,1,1,3,2,3,5
30,1,1,1,1,1,3,3,1,5
31,1,1,1,1,1,3,3,2,5
32,1,1,1,1,1,3,3,3,5
33,1,1,1,1,1,3,4,1,5
34,1,1,1,1,1,3,4,2,5
35,1,1,1,1,1,3,4,3,5
36,1,1,1,1,2,1,1,1,5
37,1,1,1,1,2,1,1,2,5
38,1,1,1,1,2,1,1,3,5
39,1,1,1,1,2,1,2,1,5
40,1,1,1,1,2,1,2,2,5
41,1,1,1,1,2,1,2,3,5
42,1,1,1,1,2,1,3,1,5
43,1,1,1,1,2,1,3,2,5
44,1,1,1,1,2,1,3,3,5
45,1,1,1,1,2,1,4,1,5
46,1,1,1,1,2,1,4,2,5
47,1,1,1,1,2,1,4,3,5
48,1,1,1,1,2,2,1,1,5
49,1,1,1,1,2,2,1,2,5
50,1,1,1,1,2,2,1,3,5
51,1,1,1,1,2,2,2,1,5
52,1,1,1,1,2,2,2,2,5
53,1,1,1,1,2,2,2,3,5
54,1,1,1,1,2,2,3,1,5
55,1,1,1,1,2,2,3,2,5
56,1,1,1,1,2,2,3,3,5
57,1,1,1,1,2,2,4,1,5
58,1,1,1,1,2,2,4,2,5
59,1,1,1,1,2,2,4,3,5
60,1,1,1,1,2,3,1,1,5
61,1,1,1,1,2,3,1,2,5
62,1,1,1,1,2,3,1,3,5
63,1,1,1,1,2,3,2,1,5
64,1,1,1,1,2,3,2,2,5
65,1,1,1,1,2,3,2,3,5
66,1,1,1,1,2,3,3,1,5
67,1,1,1,1,2,3,3,2,5
68,1,1,1,1,2,3,3,3,5
69,1,1,1,1,2,3,4,1,5
70,1,1,1,1,2,3,4,2,5
71,1,1,1,1,2,3,4,3,5
72,1,1,1,1,3,1,1,1,5
73,1,1,1,1,3,1,1,2,5
74,1,1,1,1,3,1,1,3,5
75,1,1,1,1,3,1,2,1,5
76,1,1,1,1,3,1,2,2,5
77,1,1,1,1,3,1,2,3,5
78,1,1,1,1,3,1,3,1,5
79,1,1,1,1,3,1,3,2,5
80,1,1,1,1,3,1,3,3,5
81,1,1,1,1,3,1,4,1,5
82,1,1,1,1,3,1,4,2,5
83,1,1,1,1,3,1,4,3,5
84,1,1,1,1,3,2,1,1,5
85,1,1,1,1,3,2,1,2,5
86,1,1,1,1,3,2,1,3,5
87,1,1,1,1,3,2,2,1,5
88,1,1,1,1,3,2,2,2,5
89,1,1,1,1,3,2,2,3,5
90,1,1,1,1,3,2,3,1,5
91,1,1,1,1,3,2,3,2,5
92,1,1,1,1,3,2,3,3,5
93,1,1,1,1,3,2,4,1,5
94,1,1,1,1,3,2,4,2,5
95,1,1,1,1,3,2,4,3,5
96,1,1,1,1,3,3,1,1,5
97,1,1,1,1,3,3,1,2,5
98,1,1,1,1,3,3,1,3,5
99,1,1,1,1,3,3,2,1,5
100,1,1,1,1,3,3,2,2,5
101,1,1,1,1,3,3,2,3,5
102,1,1,1,1,3,3,3,1,5
103,1,1,1,1,3,3,3,2,5
104,1,1,1,1,3,3,3,3,5
105,1,1,1,1,3,3,4,1,5
106,1,1,1,1,3,3,4,2,5
107,1,1,1,1,3,3,4,3,5
108,1,1,1,2,1,1,1,1,5
109,1,1,1,2,1,1,1,2,5
110,1,1,1,2,1,1,1,3,5
111,1,1,1,2,1,1,2,1,5
112,1,1,1,2,1,1,2,2,5
113,1,1,1,2,1,1,2,3,5
114,1,1,1,2,1,1,3,1,5
115,1,1,1,2,1,1,3,2,5
116,1,1,1,2,1,1,3,3,5
117,1,1,1,2,1,1,4,1,5
118,1,1,1,2,1,1,4,2,5
119,1,1,1,2,1,1,4,3,5
120,1,1,1,2,1,2,1,1,5
121,1,1,1,2,1,2,1,2,5
122,1,1,1,2,1,2,1,3,5
123,1,1,1,2,1,2,2,1,5
124,1,1,1,2,1,2,2,2,5
125,1,1,1,2,1,2,2,3,5
126,1,1,1,2,1,2,3,1,5
127,1,1,1,2,1,2,3,2,5
128,1,1,1,2,1,2,3,3,5
129,1,1,1,2,1,2,4,1,5
130,1,1,1,2,1,2,4,2,5
131,1,1,1,2,1,2,4,3,5
132,1,1,1,2,1,3,1,1,5
133,1,1,1,2,1,3,1,2,5
134,1,1,1,2,1,3,1,3,5
135,1,1,1,2,1,3,2,1,5
136,1,1,1,2,1,3,2,2,5
137,1,1,1,2,1,3,2,3,5
138,1,1,1,2,1,3,3,1,5
139,1,1,1,2,1,3,3,2,5
140,1,1,1,2,1,3,3,3,5
141,1,1,1,2,1,3,4,1,5
142,1,1,1,2,1,3,4,2,5
143,1,1,1,2,1,3,4,3,5
144,1,1,1,2,2,1,1,1,5
145,1,1,1,2,2,1,1,2,5
146,1,1,1,2,2,1,1,3,5
