Type,B,C,D,E,F,G,H,I,J
0,1,1,1,1,1,1,1,1,4
1,1,1,1,1,1,1,1,2,4
2,1,1,1,1,1,1,1,3,4
3,1,1,1,1,1,1,2,1,4
4,1,1,1,1,1,1,2,2,4
5,1,1,1,1,1,1,2,3,4
6,1,1,1,1,1,1,3,1,4
7,1,1,1,1,1,1,3,2,4
8,1,1,1,1,1,1,3,3,4
9,1,1,1,1,1,1,4,1,4
10,1,1,1,1,1,1,4,2,4
11,1,1,1,1,1,1,4,3,4
12,1,1,1,1,1,2,1,1,4
13,1,1,1,1,1,2,1,2,4
14,1,1,1,1,1,2,1,3,4
16,1,1,1,1,1,2,2,2,4
17,1,1,1,1,1,2,2,3,4
18,1,1,1,1,1,2,3,1,4
19,1,1,1,1,1,2,3,2,4
20,1,1,1,1,1,2,3,3,4
21,1,1,1,1,1,2,4,1,4
22,1,1,1,1,1,2,4,2,4
24,1,1,1,1,1,3,1,1,4
25,1,1,1,1,1,3,1,2,4
27,1,1,1,1,1,3,2,1,4
28,1,1,1,1,1,3,2,2,4
29,1,1,1,1,1,3,2,3,4
30,1,1,1,1,1,3,3,1,4
31,1,1,1,1,1,3,3,2,4
32,1,1,1,1,1,3,3,3,4
33,1,1,1,1,1,3,4,1,4
35,1,1,1,1,1,3,4,3,4
36,1,1,1,1,2,1,1,1,4
37,1,1,1,1,2,1,1,2,4
38,1,1,1,1,2,1,1,3,4
40,1,1,1,1,2,1,2,2,4
41,1,1,1,1,2,1,2,3,4
42,1,1,1,1,2,1,3,1,4
43,1,1,1,1,2,1,3,2,4
44,1,1,1,1,2,1,3,3,4
45,1,1,1,1,2,1,4,1,4
47,1,1,1,1,2,1,4,3,4
48,1,1,1,1,2,2,1,1,4
49,1,1,1,1,2,2,1,2,4
50,1,1,1,1,2,2,1,3,4
51,1,1,1,1,2,2,2,1,4
52,1,1,1,1,2,2,2,2,4
53,1,1,1,1,2,2,2,3,4
54,1,1,1,1,2,2,3,1,4
55,1,1,1,1,2,2,3,2,4
56,1,1,1,1,2,2,3,3,4
57,1,1,1,1,2,2,4,1,4
58,1,1,1,1,2,2,4,2,4
59,1,1,1,1,2,2,4,3,4
60,1,1,1,1,2,3,1,1,4
61,1,1,1,1,2,3,1,2,4
63,1,1,1,1,2,3,2,1,4
64,1,1,1,1,2,3,2,2,4
65,1,1,1,1,2,3,2,3,4
66,1,1,1,1,2,3,3,1,4
67,1,1,1,1,2,3,3,2,4
69,1,1,1,1,2,3,4,1,4
70,1,1,1,1,2,3,4,2,4
71,1,1,1,1,2,3,4,3,4
72,1,1,1,1,3,1,1,1,4
73,1,1,1,1,3,1,1,2,4
74,1,1,1,1,3,1,1,3,4
75,1,1,1,1,3,1,2,1,4
76,1,1,1,1,3,1,2,2,4
77,1,1,1,1,3,1,2,3,4
78,1,1,1,1,3,1,3,1,4
79,1,1,1,1,3,1,3,2,4
80,1,1,1,1,3,1,3,3,4
81,1,1,1,1,3,1,4,1,4
83,1,1,1,1,3,1,4,3,4
84,1,1,1,1,3,2,1,1,4
85,1,1,1,1,3,2,1,2,4
86,1,1,1,1,3,2,1,3,4
87,1,1,1,1,3,2,2,1,4
88,1,1,1,1,3,2,2,2,4
89,1,1,1,1,3,2,2,3,4
90,1,1,1,1,3,2,3,1,4
91,1,1,1,1,3,2,3,2,4
92,1,1,1,1,3,2,3,3,4
93,1,1,1,1,3,2,4,1,4
94,1,1,1,1,3,2,4,2,4
96,1,1,1,1,3,3,1,1,4
97,1,1,1,1,3,3,1,2,4
98,1,1,1,1,3,3,1,3,4
99,1,1,1,1,3,3,2,1,4
100,1,1,1,1,3,3,2,2,4
101,1,1,1,1,3,3,2,3,4
102,1,1,1,1,3,3,3,1,4
103,1,1,1,1,3,3,3,2,4
104,1,1,1,1,3,3,3,3,4
105,1,1,1,1,3,3,4,1,4
106,1,1,1,1,3,3,4,2,4
107,1,1,1,1,3,3,4,3,4
